,Merge,Conf_details,Conf_methods,Loc,Block,Loc_details
114,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/src/com/android/systemui/shade/NotificationPanelViewController.java,[],227,7,"[(51, 51, 1), (77, 77, 1), (298, 319, 22), (358, 360, 3), (797, 815, 19), (4216, 4394, 179), (4830, 4831, 2)]"
115,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/src/com/android/systemui/statusbar/policy/Clock.java,[],21,3,"[(19, 19, 1), (52, 55, 4), (243, 258, 16)]"
116,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/tests/src/com/android/systemui/volume/VolumeDialogImplTest.java,[],2,1,"[(111, 112, 2)]"
117,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/src/com/android/systemui/statusbar/phone/ScrimState.java,[],7,2,"[(122, 122, 1), (152, 157, 6)]"
118,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/src/com/android/systemui/navigationbar/NavigationBarController.java,[],2,2,"[(0, 0, 0), (143, 144, 2)]"
119,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/src/com/android/systemui/statusbar/phone/PhoneStatusBarView.java,[],4,1,"[(50, 53, 4)]"
120,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/src/com/android/systemui/screenshot/ScreenshotView.java,[],2,1,"[(783, 784, 2)]"
121,e33699a6fd9e692b2332b3c10642d49af617234e,services/core/java/com/android/server/media/MediaSessionRecord.java,[],2,2,"[(939, 940, 2), (0, 0, 0)]"
122,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/src/com/android/systemui/screenshot/LongScreenshotActivity.java,[],1,1,"[(400, 400, 1)]"
123,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/src/com/android/systemui/navigationbar/gestural/EdgeBackGestureHandler.java,[],7,3,"[(22, 23, 2), (62, 63, 2), (111, 113, 3)]"
124,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/src/com/android/systemui/screenshot/ImageExporter.java,[],8,4,"[(150, 151, 2), (164, 167, 4), (240, 240, 1), (247, 247, 1)]"
125,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/src/com/android/systemui/statusbar/phone/HeadsUpAppearanceController.java,[],1,1,"[(27, 27, 1)]"
126,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/src/com/android/systemui/volume/dagger/VolumeModule.java,[],4,2,"[(59, 60, 2), (70, 71, 2)]"
127,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/src/com/android/systemui/qs/QuickStatusBarHeader.java,[],3,1,"[(300, 302, 3)]"
128,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/src/com/android/systemui/screenshot/ScreenshotController.java,[],57,3,"[(448, 459, 12), (725, 766, 42), (831, 833, 3)]"
129,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/tests/src/com/android/systemui/statusbar/phone/StatusBarKeyguardViewManagerTest.java,[],4,1,"[(532, 535, 4)]"
130,e33699a6fd9e692b2332b3c10642d49af617234e,packages/SystemUI/src/com/android/systemui/qs/QSPanel.java,[],0,1,"[(0, 0, 0)]"
